2018-09-14 19:15:51,984 [1] INFO  CSV_Processor.Program Median is: 0.146
2018-09-14 19:15:51,988 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 7:15:51 PM
[Footer]\r\n[Header]\r\n2018-09-14 19:16:15,130 [1] INFO  CSV_Processor.Program Started: 14/09/2018 7:16:15 PM
2018-09-14 19:16:33,697 [1] INFO  CSV_Processor.Program Files found: 1
2018-09-14 19:16:51,698 [1] INFO  CSV_Processor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 19:16:51,724 [1] INFO  CSV_Processor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 19:16:51,725 [1] INFO  CSV_Processor.Program Creating datatable...
2018-09-14 19:16:51,744 [1] INFO  CSV_Processor.Program Completed creating datatable...
2018-09-14 19:16:51,753 [1] INFO  CSV_Processor.Program Median is: 0.146
2018-09-14 19:16:51,757 [1] INFO  CSV_Processor.Program Completed: 14/09/2018 7:16:51 PM
[Footer]\r\n[Header]\r\n2018-09-14 23:02:50,048 [1] INFO  CsvProcessor.Program Started: 14/09/2018 11:02:50 PM
2018-09-14 23:02:53,862 [1] INFO  CsvProcessor.Program Files found: 1
2018-09-14 23:02:55,805 [1] INFO  CsvProcessor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-14 23:02:55,833 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-14 23:02:55,834 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-14 23:02:55,854 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-14 23:02:55,865 [1] INFO  CsvProcessor.Program Median is: 0.146
2018-09-14 23:02:55,869 [1] INFO  CsvProcessor.Program Completed: 14/09/2018 11:02:55 PM
[Footer]\r\n[Header]\r\n2018-09-14 23:47:14,899 [1] INFO  CsvProcessor.Program Started: 14/09/2018 11:47:14 PM
2018-09-14 23:47:43,655 [1] INFO  CsvProcessor.Program Files found: 1
[Footer]\r\n[Header]\r\n2018-09-14 23:59:30,085 [1] INFO  CsvProcessor.Program Started: 14/09/2018 11:59:30 PM
2018-09-14 23:59:44,793 [1] INFO  CsvProcessor.Program Files found: 1
2018-09-14 23:59:58,999 [1] INFO  CsvProcessor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
[Footer]\r\n[Header]\r\n2018-09-15 00:00:30,523 [1] INFO  CsvProcessor.Program Started: 15/09/2018 12:00:30 AM
2018-09-15 00:00:35,097 [1] INFO  CsvProcessor.Program Files found: 1
2018-09-15 00:00:39,685 [1] INFO  CsvProcessor.Program Started Processing: ./TOU_214667141_20150901T040057.csv
2018-09-15 00:00:39,712 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./TOU_214667141_20150901T040057.csv
2018-09-15 00:00:39,713 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 00:00:39,734 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 00:00:39,744 [1] INFO  CsvProcessor.Program Median is: 0.146
2018-09-15 00:00:39,749 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 12:00:39 AM
[Footer]\r\n[Header]\r\n2018-09-15 00:02:54,182 [1] INFO  CsvProcessor.Program Started: 15/09/2018 12:02:54 AM
2018-09-15 00:03:04,572 [1] INFO  CsvProcessor.Program Files found: 3
2018-09-15 00:03:11,792 [1] INFO  CsvProcessor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-15 00:03:11,807 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-15 00:03:11,808 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 00:03:11,824 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 00:03:11,835 [1] INFO  CsvProcessor.Program Median is: 1.25
2018-09-15 00:03:11,843 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 12:03:11 AM
2018-09-15 00:03:11,844 [1] INFO  CsvProcessor.Program Started Processing: ./LP_214612534_20150907T084333712.csv
2018-09-15 00:03:11,854 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_214612534_20150907T084333712.csv
2018-09-15 00:03:11,854 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 00:03:11,857 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 00:03:11,858 [1] INFO  CsvProcessor.Program Median is: 0
2018-09-15 00:03:11,862 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 12:03:11 AM
2018-09-15 00:03:11,862 [1] INFO  CsvProcessor.Program Started Processing: ./LP_214612653_20150907T220027915.csv
2018-09-15 00:03:11,878 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_214612653_20150907T220027915.csv
2018-09-15 00:03:11,878 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 00:03:11,887 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 00:03:11,890 [1] INFO  CsvProcessor.Program Median is: 0.46
2018-09-15 00:03:11,928 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 12:03:11 AM
[Footer]\r\n[Header]\r\n2018-09-15 11:39:17,716 [1] INFO  CsvProcessor.Program Started: 15/09/2018 11:39:17 AM
2018-09-15 11:39:39,130 [1] INFO  CsvProcessor.Program Files found: 3
2018-09-15 11:39:39,158 [1] INFO  CsvProcessor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-15 11:39:40,946 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-15 11:39:40,947 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 11:39:40,966 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 11:39:40,979 [1] INFO  CsvProcessor.Program Median is: 1.25
2018-09-15 11:39:40,989 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 11:39:40 AM
2018-09-15 11:39:40,989 [1] INFO  CsvProcessor.Program Started Processing: ./LP_214612534_20150907T084333712.csv
2018-09-15 11:39:45,321 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_214612534_20150907T084333712.csv
2018-09-15 11:39:45,321 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 11:39:45,324 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 11:39:45,326 [1] INFO  CsvProcessor.Program Median is: 0
2018-09-15 11:39:45,330 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 11:39:45 AM
2018-09-15 11:39:45,330 [1] INFO  CsvProcessor.Program Started Processing: ./LP_214612653_20150907T220027915.csv
2018-09-15 11:39:45,348 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_214612653_20150907T220027915.csv
2018-09-15 11:39:45,348 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 11:39:45,359 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 11:39:45,363 [1] INFO  CsvProcessor.Program Median is: 0.46
2018-09-15 11:39:45,398 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 11:39:45 AM
[Footer]\r\n[Header]\r\n2018-09-15 11:50:49,554 [1] INFO  CsvProcessor.Program Started: 15/09/2018 11:50:49 AM
2018-09-15 11:50:55,823 [1] INFO  CsvProcessor.Program Files found: 3
2018-09-15 11:50:55,845 [1] INFO  CsvProcessor.Program Started Processing: ./LP_210095893_20150901T011608049.csv
2018-09-15 11:50:55,862 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_210095893_20150901T011608049.csv
2018-09-15 11:50:55,862 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 11:50:55,880 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 11:50:55,891 [1] INFO  CsvProcessor.Program Median is: 1.25
2018-09-15 11:50:55,901 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 11:50:55 AM
2018-09-15 11:50:55,902 [1] INFO  CsvProcessor.Program Started Processing: ./LP_214612534_20150907T084333712.csv
2018-09-15 11:50:55,905 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_214612534_20150907T084333712.csv
2018-09-15 11:50:55,905 [1] INFO  CsvProcessor.Program Creating datatable...
2018-09-15 11:50:55,908 [1] INFO  CsvProcessor.Program Completed creating datatable...
2018-09-15 11:50:55,909 [1] INFO  CsvProcessor.Program Median is: 0
2018-09-15 11:50:55,913 [1] INFO  CsvProcessor.Program Completed: 15/09/2018 11:50:55 AM
2018-09-15 11:50:55,913 [1] INFO  CsvProcessor.Program Started Processing: ./LP_214612653_20150907T220027915.csv
2018-09-15 11:50:55,926 [1] INFO  CsvProcessor.Program Completed Processing Successfully: ./LP_214612653_20150907T220027915.csv
